ptype,proxy,latency,exit_ip,https,anonymity,country,targets,asn,org,hosting,blocklisted,url
socks5,45.74.31.42:10197,3222,41.204.202.8,True,elite,ZA,,37153,Xneelo (Pty) Ltd,False,False,socks5://45.74.31.42:10197
socks4,160.119.159.98:1080,3222,160.119.159.98,True,elite,MZ,,328223,VOIPTECH LIMITADA,False,False,socks4://160.119.159.98:1080
socks5,45.74.31.30:5231,3222,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.30:5231
socks5,45.74.31.22:10611,3225,164.68.100.166,False,elite,DE,,51167,Contabo GmbH,True,True,socks5://45.74.31.22:10611
socks5,45.74.31.30:5098,3226,170.64.135.172,False,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.30:5098
socks5,45.74.31.42:9220,3234,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.42:9220
socks5,45.74.31.50:5816,3240,51.75.202.138,True,elite,FR,,16276,OVH SAS,True,True,socks5://45.74.31.50:5816
socks5,45.74.31.30:5370,3240,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.30:5370
socks5,45.74.31.30:5329,3241,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.30:5329
socks5,111.119.162.248:10900,3251,8.208.75.96,False,elite,GB,,45102,"Alibaba (US) Technology Co., Ltd.",True,True,socks5://111.119.162.248:10900
socks5,45.74.31.30:5764,3253,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.30:5764
socks5,45.74.31.22:5523,3257,95.111.193.11,False,elite,SG,,202053,UpCloud Ltd,True,True,socks5://45.74.31.22:5523
socks4,118.70.131.249:1080,3257,101.96.117.164,False,elite,VN,,24173,Netnam Company,False,True,socks4://118.70.131.249:1080
socks5,45.74.31.47:7828,3259,112.78.134.58,True,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.47:7828
socks4,103.221.228.50:5678,3261,103.221.228.50,False,elite,VN,,63747,Central Post and Telecommunication (CPT),False,False,socks4://103.221.228.50:5678
socks5,131.153.163.86:23065,3261,69.124.208.181,True,elite,US,,6128,Cablevision Systems Corp.,False,False,socks5://131.153.163.86:23065
socks5,45.74.31.25:8930,3263,112.78.134.58,True,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.25:8930
socks5,45.74.31.42:4084,3267,142.93.10.93,True,elite,US,,14061,"DigitalOcean, LLC",True,True,socks5://45.74.31.42:4084
socks5,45.74.31.42:8477,3269,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.42:8477
socks5,45.74.31.25:6195,3270,162.241.54.84,True,elite,US,,19871,"Network Solutions, LLC",False,True,socks5://45.74.31.25:6195
socks5,45.74.31.25:5793,3275,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.25:5793
socks5,45.74.31.23:14183,3275,164.68.100.166,True,elite,DE,,51167,Contabo GmbH,True,True,socks5://45.74.31.23:14183
socks5,45.74.31.30:8976,3275,34.132.56.138,True,elite,US,,396982,Google LLC,True,False,socks5://45.74.31.30:8976
socks5,45.74.31.22:5525,3279,34.132.56.138,True,elite,US,,396982,Google LLC,True,False,socks5://45.74.31.22:5525
socks5,45.74.31.42:6998,3282,69.6.214.192,True,elite,BR,,26337,"Oso Grande IP Services, LLC",False,True,socks5://45.74.31.42:6998
socks5,45.74.31.42:8519,3283,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.42:8519
socks4,103.159.243.1:5678,3284,103.137.218.178,False,elite,IN,,132972,Nandbalaji Connecting Zone Pvt. Ltd.,False,False,socks4://103.159.243.1:5678
socks5,45.74.31.42:15713,3286,112.78.134.58,False,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.42:15713
socks5,45.74.31.30:4164,3286,103.154.63.62,True,elite,VN,,135905,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,False,True,socks5://45.74.31.30:4164
socks5,45.74.31.42:9285,3302,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.42:9285
socks5,45.74.31.23:5314,3302,91.204.209.37,True,elite,GB,,52148,Enix Ltd,False,False,socks5://45.74.31.23:5314
socks5,45.74.31.47:5428,3303,42.117.29.201,True,elite,VN,,18403,FPT Telecom Company,False,True,socks5://45.74.31.47:5428
socks5,45.74.31.47:5811,3308,170.64.135.172,True,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.47:5811
socks5,45.74.31.30:5035,3308,62.151.182.198,False,elite,US,,8560,IONOS SE,True,True,socks5://45.74.31.30:5035
socks4,183.88.240.139:4153,3311,1.20.104.115,False,elite,TH,,23969,TOT Public Company Limited,False,False,socks4://183.88.240.139:4153
socks5,45.74.31.50:5042,3312,34.132.56.138,True,elite,US,,396982,Google LLC,True,False,socks5://45.74.31.50:5042
socks5,45.74.31.30:5075,3316,170.64.135.172,False,elite,AU,,14061,"DigitalOcean, LLC",True,False,socks5://45.74.31.30:5075
socks4,180.183.149.236:5678,3324,180.183.149.236,True,elite,TH,,138524,Triple T Broadband Public Company Limited,False,False,socks4://180.183.149.236:5678
socks4,46.214.153.223:5678,3326,46.214.153.223,True,elite,RO,,48161,NEXTGEN COMMUNICATIONS SRL,False,True,socks4://46.214.153.223:5678
socks4,202.87.210.20:57833,3330,202.87.210.20,False,elite,WS,,38800,Digicel Samoa Ltd,False,True,socks4://202.87.210.20:57833
socks5,45.74.31.40:13752,3330,112.78.134.58,False,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.40:13752
http,105.159.151.72:4189,3333,41.251.26.8,False,elite,MA,,36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,False,False,http://105.159.151.72:4189
socks5,45.74.31.30:8931,3335,104.219.251.77,True,elite,US,,22612,"Namecheap, Inc.",True,False,socks5://45.74.31.30:8931
socks5,45.74.31.42:7966,3339,172.168.194.20,True,elite,US,,8075,Microsoft Corporation,True,True,socks5://45.74.31.42:7966
socks5,45.74.31.25:14708,3345,112.78.134.58,False,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.25:14708
socks5,45.74.31.50:4165,3350,104.219.251.77,True,elite,US,,22612,"Namecheap, Inc.",True,False,socks5://45.74.31.50:4165
socks5,45.74.31.47:19459,3353,65.109.33.26,True,elite,FI,,24940,Hetzner Online GmbH,True,False,socks5://45.74.31.47:19459
socks4,47.91.110.148:8888,3355,47.91.110.148,False,elite,AE,,45102,"Alibaba (US) Technology Co., Ltd.",True,False,socks4://47.91.110.148:8888
socks5,45.74.31.30:6992,3358,78.128.76.254,False,elite,BG,,57344,Telehouse EAD,False,True,socks5://45.74.31.30:6992
socks5,45.74.31.47:7531,3359,112.78.134.58,True,elite,ID,,17451,BIZNET NETWORKS,False,False,socks5://45.74.31.47:7531
socks5,45.74.31.30:10299,3372,78.128.76.254,False,elite,BG,,57344,Telehouse EAD,False,True,socks5://45.74.31.30:10299
